location_id,province,type,city,district,village,zip_code,description
1,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Gambir,10110,DKI Jakarta/Jakarta Pusat/Gambir/Gambir/10110
2,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Kebon Kelapa,10120,DKI Jakarta/Jakarta Pusat/Gambir/Kebon Kelapa/10120
3,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Petojo Utara,10130,DKI Jakarta/Jakarta Pusat/Gambir/Petojo Utara/10130
4,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Duri Pulo,10140,DKI Jakarta/Jakarta Pusat/Gambir/Duri Pulo/10140
5,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Cideng,10150,DKI Jakarta/Jakarta Pusat/Gambir/Cideng/10150
6,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Petojo Selatan,10160,DKI Jakarta/Jakarta Pusat/Gambir/Petojo Selatan/10160
7,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Bendungan Hilir,10210,DKI Jakarta/Jakarta Pusat/Tanah Abang/Bendungan Hilir/10210
8,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Karet Tengsin,10220,DKI Jakarta/Jakarta Pusat/Tanah Abang/Karet Tengsin/10220
9,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Kebon Melati,10230,DKI Jakarta/Jakarta Pusat/Tanah Abang/Kebon Melati/10230
10,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Kebon Kacang,10240,DKI Jakarta/Jakarta Pusat/Tanah Abang/Kebon Kacang/10240
11,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Kampung Bali,10250,DKI Jakarta/Jakarta Pusat/Tanah Abang/Kampung Bali/10250
12,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Petamburan,10260,DKI Jakarta/Jakarta Pusat/Tanah Abang/Petamburan/10260
13,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Gelora,10270,DKI Jakarta/Jakarta Pusat/Tanah Abang/Gelora/10270
14,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Menteng,10310,DKI Jakarta/Jakarta Pusat/Menteng/Menteng/10310
15,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Pegangsaan,10320,DKI Jakarta/Jakarta Pusat/Menteng/Pegangsaan/10320
16,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Cikini,10330,DKI Jakarta/Jakarta Pusat/Menteng/Cikini/10330
17,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Kebon Sirih,10340,DKI Jakarta/Jakarta Pusat/Menteng/Kebon Sirih/10340
18,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Gondangdia,10350,DKI Jakarta/Jakarta Pusat/Menteng/Gondangdia/10350
19,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Senen,10410,DKI Jakarta/Jakarta Pusat/Senen/Senen/10410
20,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Kwitang,10420,DKI Jakarta/Jakarta Pusat/Senen/Kwitang/10420
21,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Kenari,10430,DKI Jakarta/Jakarta Pusat/Senen/Kenari/10430
22,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Paseban,10440,DKI Jakarta/Jakarta Pusat/Senen/Paseban/10440
23,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Kramat,10450,DKI Jakarta/Jakarta Pusat/Senen/Kramat/10450
24,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Bungur,10460,DKI Jakarta/Jakarta Pusat/Senen/Bungur/10460
25,DKI Jakarta,Kotamadya,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,10510,DKI Jakarta/Jakarta Pusat/Cempaka Putih/Cempaka Putih Timur/10510
26,DKI Jakarta,Kotamadya,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,10520,DKI Jakarta/Jakarta Pusat/Cempaka Putih/Cempaka Putih Barat/10520
27,DKI Jakarta,Kotamadya,Jakarta Pusat,Johar Baru,Galur,10530,DKI Jakarta/Jakarta Pusat/Johar Baru/Galur/10530
